amount,txn_hour,payment_mode,receiver_type,is_new_receiver,avg_amount_7d,avg_amount_30d,max_amount_7d,txn_count_1h,txn_count_24h,days_since_last_txn,night_txn_ratio,location_mismatch,is_night,is_round_amount,velocity_check,deviation_from_sender_avg,exceeds_recent_max,is_fraud
1940.94,14,1,1,0,4172.26,4436.29,6223.33,1,2,0,0.37,0,0,0,0,0.44,0,0.0
460.87,8,1,0,0,1144.32,1230.7,2229.77,0,2,6,0.3,0,0,0,0,0.37,0,0.0
744.46,11,0,2,0,1080.35,1074.42,1354.65,1,1,1,0.47,0,0,0,0,0.69,0,0.0
40.47,18,1,1,1,39.86,39.79,102.12,0,2,3,0.44,0,0,0,0,1.02,0,0.0
183.42,16,2,2,0,252.44,274.0,584.41,0,6,0,0.17,0,0,0,0,0.67,0,0.0
719.98,13,0,2,1,849.65,805.94,1962.66,1,4,4,0.45,0,0,0,0,0.89,0,0.0
83.09,23,1,1,0,131.6,132.91,303.07,2,5,2,0.31,0,1,0,0,0.63,0,0.0
361.27,15,0,1,0,376.63,375.49,1017.88,0,2,11,0.2,0,0,0,0,0.96,0,0.0
72.0,3,1,1,0,32.19,31.77,68.33,1,4,1,0.65,0,1,0,0,2.27,1,0.0
116.02,17,1,1,0,90.57,89.89,223.47,0,3,0,0.26,0,0,0,0,1.29,0,0.0
441.36,12,1,0,0,557.98,528.12,965.57,1,3,3,0.14,0,0,0,0,0.84,0,0.0
1307.04,16,0,2,0,2195.56,2218.27,5688.38,1,3,7,0.35,0,0,0,0,0.59,0,0.0
328.18,23,2,2,0,332.64,312.82,858.15,1,5,1,0.44,0,1,0,0,1.05,0,0.0
537.08,17,1,1,0,676.38,717.07,914.09,1,3,2,0.66,0,0,0,0,0.75,0,0.0
1185.87,22,0,1,1,898.53,947.29,2450.42,1,4,5,0.44,0,0,0,0,1.25,0,0.0
3313.48,3,0,1,0,2776.22,2853.5,3954.93,0,4,4,0.13,0,1,0,0,1.16,0,0.0
169.96,8,1,2,0,74.57,70.36,193.71,0,3,1,0.6,0,0,0,0,2.42,0,0.0
614.53,23,1,1,0,1524.4,1448.55,4558.91,0,2,4,0.12,0,1,0,0,0.42,0,0.0
1361.86,15,2,1,0,2567.9,2503.55,6809.46,0,6,22,0.15,0,0,0,0,0.54,0,0.0
167.05,22,2,0,0,204.19,202.68,477.64,0,0,1,0.17,0,0,0,0,0.82,0,0.0
504.34,17,0,2,0,2025.03,2007.61,5670.5,1,2,3,0.07,0,0,0,0,0.25,0,0.0
445.49,1,1,2,0,447.71,479.79,857.77,0,3,20,0.54,0,1,0,0,0.93,0,0.0
206.25,22,0,1,0,185.41,175.09,428.84,0,4,1,0.38,0,0,0,0,1.18,0,0.0
69.15,9,2,2,0,77.55,77.84,168.45,0,3,0,0.39,0,0,0,0,0.89,0,0.0
46.69,8,1,0,0,49.95,49.59,63.71,0,3,1,0.3,0,0,0,0,0.94,0,0.0
257.99,8,1,0,0,312.32,294.98,571.22,0,4,0,0.37,0,0,0,0,0.87,0,0.0
501.96,14,2,0,0,919.24,932.08,2188.62,1,2,5,0.45,0,0,0,0,0.54,0,0.0
213.33,1,1,1,0,278.96,295.1,635.23,0,4,9,0.18,0,1,0,0,0.72,0,0.0
1091.14,14,0,1,0,500.51,511.16,1414.93,0,3,12,0.43,0,0,0,0,2.13,0,0.0
4371.28,18,1,2,0,10370.43,10365.05,22031.21,0,2,13,0.15,0,0,0,0,0.42,0,0.0
981.75,13,0,1,1,665.95,711.18,1358.05,0,5,4,0.29,0,0,0,0,1.38,0,0.0
496.62,23,0,1,0,356.37,326.52,469.86,0,4,6,0.69,0,1,0,0,1.52,1,0.0
341.65,23,1,1,0,532.76,580.39,1206.66,0,3,0,0.46,0,1,0,0,0.59,0,0.0
520.83,8,0,2,0,677.82,704.37,1931.44,0,5,7,0.49,0,0,0,0,0.74,0,0.0
444.17,19,2,1,0,298.08,291.79,438.88,1,4,1,0.18,0,0,0,0,1.52,1,0.0
394.03,9,2,1,0,388.07,361.43,686.42,2,2,3,0.31,0,0,0,0,1.09,0,0.0
174.31,12,1,2,0,110.65,102.98,182.05,0,3,0,0.3,0,0,0,0,1.69,0,0.0
152.61,11,1,1,1,269.34,282.98,584.7,0,3,5,0.18,0,0,0,1,0.54,0,1.0
2565.12,9,0,0,0,4007.22,4034.84,6135.83,0,6,3,0.54,1,0,0,0,0.64,0,0.0
263.19,10,0,0,0,351.63,331.04,808.49,0,3,9,0.65,0,0,0,0,0.8,0,0.0
1959.68,19,0,0,0,1678.2,1606.84,4772.11,1,3,12,0.1,0,0,0,0,1.22,0,0.0
619.27,19,2,2,0,283.84,276.68,666.36,0,7,1,0.28,0,0,0,0,2.24,0,0.0
61.08,23,0,0,0,54.81,53.51,142.46,2,1,1,0.11,0,1,0,0,1.14,0,0.0
3383.62,17,1,1,0,4814.65,4876.95,11395.28,0,2,0,0.4,0,0,0,0,0.69,0,0.0
99.3,5,0,0,0,49.02,53.89,63.32,1,5,0,0.57,0,1,0,0,1.84,1,0.0
625.73,20,2,2,0,267.55,252.11,788.16,0,2,0,0.43,0,0,0,0,2.48,0,0.0
997.49,12,2,0,0,1684.55,1533.54,4163.42,0,3,3,0.34,0,0,0,0,0.65,0,0.0
1348.42,17,1,2,1,1309.9,1219.11,2568.09,0,1,1,0.55,0,0,0,0,1.11,0,0.0
213.11,23,1,0,0,377.76,352.79,1037.24,3,4,9,0.33,0,1,0,0,0.6,0,0.0
69.03,3,0,0,0,194.59,191.63,536.59,0,1,0,0.35,1,1,0,0,0.36,0,0.0
426.65,0,2,1,0,691.05,669.21,1944.36,1,4,6,0.04,0,1,0,0,0.64,0,0.0
2228.63,8,2,1,0,2275.58,2335.72,5910.33,1,1,14,0.26,0,0,0,0,0.95,0,0.0
190.1,0,1,2,0,431.28,411.81,1265.06,0,1,0,0.3,0,1,0,0,0.46,0,0.0
1076.34,14,0,2,0,1336.85,1250.36,1677.92,0,6,6,0.79,0,0,0,0,0.86,0,0.0
113.57,13,0,2,0,163.55,149.79,360.24,1,0,0,0.13,0,0,0,0,0.76,0,0.0
146.6,19,1,0,0,157.9,145.79,461.68,0,0,7,0.25,0,0,0,0,1.01,0,0.0
777.58,13,0,0,0,982.35,1028.56,2517.54,0,1,7,0.44,0,0,0,0,0.76,0,0.0
453.27,14,1,2,0,673.48,742.75,1941.55,0,2,0,0.3,0,0,0,0,0.61,0,0.0
964.16,14,2,0,0,752.01,775.39,1286.59,0,0,6,0.31,0,0,0,0,1.24,0,0.0
178.41,5,1,0,0,119.67,125.47,150.83,0,2,1,0.25,0,1,0,0,1.42,1,0.0
174.19,15,0,2,0,145.52,145.39,405.16,2,4,11,0.25,0,0,0,0,1.2,0,0.0
4727.39,11,0,2,0,6993.79,6794.7,13897.41,0,2,6,0.13,0,0,0,0,0.7,0,0.0
241.26,11,1,1,1,164.0,175.9,329.16,0,4,3,0.05,0,0,0,0,1.37,0,0.0
185.09,6,0,0,0,282.24,287.83,682.81,0,3,6,0.18,0,0,0,0,0.64,0,0.0
862.64,5,1,0,1,1968.24,2121.22,3049.97,1,1,2,0.35,0,1,0,0,0.41,0,0.0
143.02,1,1,0,0,302.54,320.34,629.38,0,4,8,0.13,0,1,0,0,0.45,0,0.0
492.25,21,2,1,0,419.61,459.06,683.35,0,3,3,0.34,0,0,0,0,1.07,0,0.0
277.96,15,2,1,0,30.82,31.74,53.34,0,1,5,0.4,0,0,0,0,8.76,1,1.0
306.69,23,2,2,0,624.86,661.04,800.23,1,2,0,0.63,0,1,0,0,0.46,0,0.0
12.84,17,2,0,0,10.47,10.11,21.45,0,2,1,0.61,0,0,0,0,1.27,0,0.0
332.72,5,2,2,1,451.47,448.4,771.51,1,4,1,0.1,0,1,0,0,0.74,0,0.0
14481.12,13,1,0,1,31398.64,30890.74,75139.86,0,6,5,0.12,1,0,0,0,0.47,0,1.0
269.63,6,1,1,0,235.12,260.73,346.45,0,0,7,0.23,0,0,0,0,1.03,0,0.0
609.82,6,2,0,0,1046.4,1092.73,1713.05,0,3,1,0.31,0,0,0,0,0.56,0,0.0
165.35,16,2,0,0,409.62,404.4,496.1,1,4,0,0.28,0,0,0,0,0.41,0,0.0
185.26,4,1,1,1,143.78,137.73,310.06,1,3,8,0.19,0,1,0,0,1.35,0,0.0
77.2,12,1,2,0,101.0,99.28,155.6,1,4,2,0.16,0,0,0,0,0.78,0,0.0
524.39,6,2,1,0,261.72,286.46,574.85,0,2,2,0.31,0,0,0,0,1.83,0,0.0
171.7,19,0,0,0,118.35,117.94,171.57,0,3,0,0.13,0,0,0,0,1.46,1,0.0
115.02,12,0,1,0,101.12,102.23,137.58,1,5,5,0.34,0,0,0,0,1.13,0,0.0
334.45,13,0,2,0,354.37,324.16,493.06,0,2,2,0.32,0,0,0,0,1.03,0,0.0
910.81,22,0,1,1,889.58,933.17,2155.55,0,2,6,0.5,0,0,0,0,0.98,0,0.0
43.92,14,1,2,1,31.05,29.66,56.17,0,2,13,0.35,0,0,0,0,1.48,0,0.0
2256.21,11,1,1,0,2800.34,2713.69,8088.99,1,2,1,0.15,0,0,0,0,0.83,0,0.0
214.82,5,2,1,0,154.48,154.98,373.83,0,2,2,0.27,0,1,0,0,1.39,0,0.0
9642.98,15,1,1,0,7493.55,7090.82,18614.74,0,3,2,0.08,0,0,0,0,1.36,0,0.0
478.59,4,2,1,0,340.54,321.14,955.86,0,4,3,0.46,0,1,0,0,1.49,0,0.0
829.11,8,1,2,0,745.76,693.21,1791.35,0,1,13,0.29,0,0,0,0,1.2,0,0.0
417.21,8,2,2,0,356.95,355.79,1069.58,0,5,12,0.1,0,0,0,0,1.17,0,0.0
2211.16,14,2,0,0,1763.61,1737.1,2240.69,0,2,2,0.33,0,0,0,0,1.27,0,0.0
5313.24,6,0,0,0,7208.88,6629.86,21502.18,0,3,0,0.19,0,0,0,0,0.8,0,0.0
1144.12,19,0,1,0,1453.21,1425.79,2521.29,0,3,7,0.09,0,0,0,0,0.8,0,0.0
169.18,19,1,2,0,72.36,69.72,191.86,0,1,8,0.09,0,0,0,0,2.43,0,0.0
531.07,19,2,2,0,917.81,967.5,1270.12,0,4,10,0.47,0,0,0,0,0.55,0,0.0
327.95,5,1,2,0,175.93,189.8,423.07,2,5,4,0.36,0,1,0,0,1.73,0,0.0
1464.91,5,1,2,0,1304.13,1317.79,2649.94,1,3,1,0.32,0,1,0,0,1.11,0,0.0
847.65,9,0,1,0,714.47,655.3,1936.31,1,3,3,0.27,0,0,0,0,1.29,0,1.0
179.01,1,2,1,0,290.43,267.86,763.41,0,0,3,0.32,0,1,0,0,0.67,0,0.0
118.97,12,2,0,0,144.96,150.5,206.26,1,7,1,0.27,0,0,0,0,0.79,0,0.0
186.13,5,2,0,0,328.02,360.78,887.24,2,6,7,0.36,0,1,0,0,0.52,0,0.0
734.44,16,0,0,0,1148.26,1110.69,2815.03,0,4,1,0.32,0,0,0,0,0.66,0,0.0
345.15,17,2,2,0,385.03,408.99,640.23,0,3,2,0.07,0,0,0,0,0.84,0,0.0
166.76,14,1,0,0,260.9,267.89,622.44,0,2,4,0.2,0,0,0,0,0.62,0,0.0
815.51,15,1,0,0,1669.53,1548.24,2776.69,0,3,2,0.17,0,0,0,0,0.53,0,0.0
33.0,16,1,1,0,11.58,11.21,17.4,0,2,0,0.51,0,0,0,0,2.94,1,0.0
95.21,5,1,1,0,108.86,101.31,296.86,0,4,5,0.31,0,1,0,0,0.94,0,0.0
269.24,16,2,1,0,101.66,104.02,167.73,0,6,0,0.21,0,0,0,0,2.59,1,0.0
326.03,2,0,1,0,512.11,474.26,1317.69,0,4,0,0.16,0,1,0,0,0.69,0,0.0
101.94,12,0,1,0,119.4,128.85,329.21,0,4,2,0.33,0,0,0,0,0.79,0,0.0
867.37,3,0,2,0,1293.61,1410.8,2240.91,0,2,1,0.54,0,1,0,0,0.61,0,0.0
81.66,10,2,2,0,215.1,224.41,353.54,0,4,5,0.16,0,0,0,0,0.36,0,0.0
1265.16,14,0,2,0,1098.31,1121.46,3195.77,0,5,2,0.38,0,0,0,0,1.13,0,0.0
337.67,5,0,0,0,186.7,199.74,508.88,0,1,3,0.42,0,1,0,0,1.69,0,0.0
1644.71,4,0,0,0,4555.72,4262.75,6781.64,1,3,7,0.16,0,1,0,0,0.39,0,0.0
756.57,21,1,2,0,377.49,391.53,716.69,1,1,15,0.43,0,0,0,0,1.93,1,0.0
511.19,8,0,0,0,332.22,312.59,601.21,2,2,1,0.3,0,0,0,0,1.64,0,0.0
967.28,0,2,2,0,1250.22,1284.33,2847.57,1,4,8,0.3,0,1,0,0,0.75,0,0.0
1051.22,2,1,2,0,1083.39,1045.04,1711.16,0,6,17,0.46,0,1,0,0,1.01,0,0.0
164.34,20,2,1,0,70.12,68.04,199.06,0,4,0,0.15,0,0,0,0,2.42,0,0.0
2305.29,17,2,0,0,1439.49,1384.77,3778.16,1,4,9,0.15,0,0,0,0,1.66,0,0.0
274.53,22,2,1,0,340.79,346.96,958.91,0,1,2,0.23,0,0,0,0,0.79,0,0.0
84.93,5,1,0,0,171.37,159.19,476.05,0,0,1,0.19,0,1,0,0,0.53,0,0.0
390.12,0,0,2,1,437.47,441.04,1162.78,1,2,5,0.21,0,1,0,0,0.88,0,0.0
136.15,1,2,1,0,365.41,396.61,1095.99,1,3,5,0.2,0,1,0,0,0.34,0,0.0
368.96,1,2,1,1,756.29,705.97,1363.86,0,0,6,0.36,0,1,0,0,0.52,0,0.0
139.33,17,2,0,1,321.42,311.04,388.76,0,3,10,0.16,0,0,0,0,0.45,0,0.0
1975.34,10,1,0,0,1879.1,1842.74,4325.62,0,2,0,0.14,0,0,0,0,1.07,0,0.0
460.03,3,0,1,0,526.36,503.63,991.87,0,2,1,0.14,0,1,0,0,0.91,0,0.0
2037.27,7,2,1,0,7899.5,8370.18,13152.74,0,5,1,0.19,0,0,0,0,0.24,0,0.0
